City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,loch garman,52.3342,-6.4575,16.61,100,94,5.36,IE,1691705787
1,hadibu,12.65,54.0333,25.52,82,45,6.78,YE,1691705771
2,edinburgh of the seven seas,-37.0676,-12.3116,11.93,72,42,12.32,SH,1691705787
3,ushuaia,-54.8,-68.3,2.81,81,75,2.57,AR,1691705788
4,port-aux-francais,-49.35,70.2167,4.19,80,100,15.67,TF,1691705726
5,itaituba,-4.2761,-55.9836,32.09,62,20,2.06,BR,1691705706
6,puerto natales,-51.7236,-72.4875,1.08,86,75,2.72,CL,1691705530
7,adamstown,-25.066,-130.1015,18.07,59,24,9.85,PN,1691705788
8,katsuura,35.1333,140.3,26.91,87,4,4.61,JP,1691705788
9,pagar alam,-4.0167,103.2667,18.94,94,20,1.34,ID,1691705788
10,georgetown,5.4112,100.3354,27.19,89,20,0.0,MY,1691705499
11,jutai,-5.1833,-68.9,29.68,63,69,1.14,BR,1691705788
12,grytviken,-54.2811,-36.5092,-1.06,98,96,3.89,GS,1691705730
13,hermanus,-34.4187,19.2345,15.81,59,0,1.22,ZA,1691705751
14,wailua homesteads,22.0669,-159.378,30.44,68,0,7.72,US,1691705788
15,tangalle,6.024,80.7911,25.09,90,74,4.17,LK,1691705600
16,fort mcmurray,56.7268,-111.381,14.77,100,100,4.63,CA,1691705789
17,ilulissat,69.2167,-51.1,7.01,81,75,2.06,GL,1691705789
18,chambas,22.1928,-78.9136,32.39,55,92,6.67,CU,1691705789
19,kapa'a,22.0752,-159.319,31.18,67,0,7.72,US,1691705789
20,blackmans bay,-43.0167,147.3167,9.83,80,100,2.98,AU,1691705789
21,ribeira grande,38.5167,-28.7,22.22,73,20,4.63,PT,1691705789
22,san antonio de pale,-1.4014,5.6325,23.64,87,69,4.6,GQ,1691705789
23,iqaluit,63.7506,-68.5145,7.61,87,20,5.36,CA,1691705789
24,plettenberg bay,-34.0527,23.3716,20.87,37,0,2.73,ZA,1691705789
25,stanley,54.868,-1.6985,19.33,83,0,2.06,GB,1691705789
26,portage la prairie,49.9728,-98.2926,15.05,85,100,2.57,CA,1691705790
27,bilibino,68.0546,166.4372,11.37,75,100,1.84,RU,1691705747
28,margaret river,-33.95,115.0667,12.19,76,91,2.34,AU,1691705714
29,udachny,66.4167,112.4,16.36,82,88,2.17,RU,1691705790
30,tiksi,71.6872,128.8694,17.88,47,4,2.78,RU,1691705739
31,west island,-12.1568,96.8225,24.99,88,75,6.69,CC,1691705746
32,jamestown,42.097,-79.2353,23.9,54,75,5.14,US,1691705658
33,isafjordur,66.0755,-23.124,7.37,81,100,4.45,IS,1691705790
34,longyearbyen,78.2186,15.6401,8.91,87,100,1.03,SJ,1691705790
35,hamilton,39.1834,-84.5333,28.76,63,0,5.66,US,1691705704
36,dudinka,69.4058,86.1778,10.9,51,80,11.18,RU,1691705748
37,yengema,8.7167,-11.1667,21.41,99,100,1.06,SL,1691705790
38,talnakh,69.4865,88.3972,10.67,63,93,6.97,RU,1691705790
39,papatowai,-46.5619,169.4708,4.98,77,100,1.93,NZ,1691705790
40,yellowknife,62.456,-114.3525,21.29,46,100,3.09,CA,1691705791
41,yumaguzino,52.9041,56.3933,15.52,67,1,1.89,RU,1691705791
42,kodiak,57.79,-152.4072,13.73,82,100,1.54,US,1691705791
43,olonkinbyen,70.9221,-8.7187,6.7,99,100,4.7,SJ,1691705791
44,uturoa,-16.7333,-151.4333,25.13,67,79,7.34,PF,1691705791
45,bargaal,11.2864,51.0773,26.45,72,77,6.72,SO,1691705791
46,abra pampa,-22.7205,-65.697,12.47,6,23,5.32,AR,1691705791
47,waitangi,-43.9535,-176.5597,12.12,94,83,3.13,NZ,1691705791
48,kimbe,-5.5502,150.1429,25.48,71,32,4.84,PG,1691705791
49,haiku-pauwela,20.9219,-156.3051,28.47,74,40,10.29,US,1691705791
50,kangding,30.0513,101.9603,16.54,91,97,0.35,CN,1691705792
51,port elizabeth,-33.918,25.5701,21.72,93,3,1.54,ZA,1691705514
52,anatuya,-28.4606,-62.8347,25.24,37,1,1.05,AR,1691705792
53,chester,40.1254,-75.8749,24.35,91,40,4.12,US,1691705589
54,enewetak,11.3474,162.3373,28.41,77,29,5.26,MH,1691705792
55,albany,42.6001,-73.9662,23.23,95,100,0.36,US,1691705528
56,bredasdorp,-34.5322,20.0403,13.15,71,0,1.19,ZA,1691705767
57,ha'il,27.5219,41.6907,31.01,15,0,3.09,SA,1691705792
58,hawaiian paradise park,19.5933,-154.9731,27.24,84,100,0.45,US,1691705792
59,alice springs,-23.7,133.8833,5.75,70,1,2.57,AU,1691705612
60,saldanha,-33.0117,17.9442,15.99,72,0,2.77,ZA,1691705792
